order_id|product_id
209|39409
209|20842
209|16965
209|8021
209|23001
1437|23023
1437|459
1437|24852
1437|524
1437|26826
1437|14612
1437|19296
1437|11577
1437|47626
1437|38400
1437|30427
1437|2588
1437|4920
1437|31087
1437|39027
1437|33204
1437|47248
1437|45066
1437|39613
1437|48205
1437|17261
1437|31343
1437|48548
1437|45200
1437|4942
4165|13176
4165|8103
4165|671
4165|16825
4165|1406
4604|49683
4604|16349
4604|28849
4604|39928
4604|47209
4604|10831
4604|43122
4604|26283
4604|27156
4604|14462
4604|45007
4604|11777
4604|32655
4604|1463
4604|24852
4604|37646
4604|46107
4604|36076
4604|25146
4604|9339
5020|32747
5020|13176
5020|11934
5020|20947
5020|6287
5020|20794
5020|30776
5020|41009
5020|26047
5020|13646
5020|18221
5020|6348
5020|11140
5020|19706
5020|47209
5020|11628
5020|38159
5020|5876
8576|3798
9057|24852
9057|45123
9057|44142
9057|6046
9057|45007
9057|26369
9057|28204
9057|11777
9057|21288
9057|32655
9057|21903
9057|14702
9057|31343
9057|3952
9057|25753
9057|22035
9057|39699
9057|46107
11894|3990
11894|15386
11894|8638
11894|34862
11894|15595
11894|46842
11894|24852
11894|48183
11894|33168
11894|35832
11894|11338
11894|16703
11894|25562
11894|42460
11894|21076
11894|35329
11894|29783
11894|21333
11894|14218
11894|13936
11894|27429
11894|5097
11894|31343
11894|46572
11894|15537
11894|24746
11894|10600
11894|12276
13044|40269
13044|20682
13044|24425
13044|29553
13044|41561
13044|48071
13044|30355
13044|1986
13044|22888
16707|45495
16707|12955
16707|40632
16707|22115
16707|37859
19780|10603
19780|42495
19780|31634
19780|8021
19780|3599
19780|24852
19780|37357
19780|28571
19780|7559
19780|13829
19780|3661
19780|40706
19780|13198
19780|2450
20470|45633
20470|9881
20470|25533
20470|20588
20489|18557
20489|28571
20489|21783
20489|12545
20489|37158
20489|31487
20489|17224
20489|28038
20489|44632
20489|47766
20489|26369
20489|47537
20489|17206
20489|13198
20489|20118
20941|42367
20941|2722
20941|16589
21727|21038
21727|13176
21727|4472
21727|28985
21727|34706
21727|47652
21727|28503
21727|4853
21727|44514
21727|10108
21727|46667
21727|14858
21727|21903
21727|26486
21727|23094
21727|21405
21727|15349
21727|49683
21727|49585
21727|27847
21835|32747
21835|47621
21835|45104
21835|36939
21835|14633
21835|24852
21835|25890
21835|41519
21835|8174
21835|31847
21835|24009
21835|36696
21835|37107
21835|4544
22913|9626
22913|459
22913|33204
22913|42733
22913|14901
22913|853
22913|26624
22913|34134
22913|3020
22913|32569
22913|28378
22913|23023
22913|28529
22913|8214
22913|2745
22913|43629
22913|3992
22913|45692
22913|31771
25528|15804
25528|44632
25528|17160
25865|25965
25865|43713
25865|11576
25865|26047
25865|47766
25865|24852
25865|26282
25865|48034
25865|26168
25865|7412
25865|6489
25865|43428
25865|22170
25865|23909
25865|19508
25865|7485
25865|261
25865|30135
25865|31343
25865|30776
25865|40723
25865|47792
25865|18362
25865|41950
25865|46665
25865|9913
25865|32689
25865|10246
25865|5303
25865|41009
25865|45603
25865|8736
25865|45302
33747|44514
33747|14858
33747|26486
33747|12674
33747|21038
33747|4472
33747|47652
33747|28985
33747|34706
35200|17871
35200|17957
35200|22115
35200|46709
35200|21847
35200|11140
35200|19048
35200|15934
39610|38768
39610|44683
39749|13176
39749|37980
39986|7952
39986|26278
40797|24850
40797|35221
40797|38689
40797|18441
40797|260
40797|47766
40874|12290
40874|7500
40874|21174
40874|12276
40874|8239
40874|8021
40874|9138
40874|4799
40874|13198
40874|17652
40874|3661
40874|40706
40874|29449
42431|22935
42431|38293
42431|26848
42431|6740
42431|20989
42431|35031
42431|17454
42786|22006
42786|4945
42786|27471
42786|16932
42786|31945
42786|18594
42786|36517
42786|22007
42786|19436
42903|41842
42903|1406
46305|27544
46305|36695
46305|26800
46305|21847
46305|24852
46305|35951
46305|39408
46305|12545
47278|29447
47278|39275
47278|39964
47278|21137
47278|19816
47278|27966
47278|30169
47278|17600
47278|47766
47278|6615
47278|13870
47278|24184
47278|19678
47278|48210
47278|34969
47278|26604
47278|32839
47278|8670
47278|4605
47278|24964
47278|9741
47278|37496
47278|7325
47278|35734
47278|7179
47278|44303
47278|44422
47278|24236
47278|22827
47668|28756
47668|1891
47668|32757
47668|38427
47668|13176
47668|48023
47668|7521
47668|49235
47668|21743
47668|21709
49352|13176
49352|8859
49352|18811
49352|35547
49352|5876
49352|37646
49352|26209
49352|39794
49932|14833
49932|26047
49932|41009
49932|20580
49932|6489
49932|7412
49932|11576
49932|21709
49932|35469
49932|13176
49932|7781
49932|6348
49932|5876
49932|24184
49932|14809
49932|5785
50425|24852
50425|3519
50425|2135
50425|49054
50425|46941
50425|6592
50425|17819
50425|5970
50425|13083
50425|26165
50425|10673
51614|47766
51614|20574
51614|38689
51614|43504
52933|41519
52933|45066
54049|19213
54049|28862
54049|26738
54049|28756
56010|26251
56010|34112
56010|46820
56010|24838
56010|29443
56408|17395
56408|9755
56408|14870
56408|7704
56408|19057
56408|23630
56408|39275
56408|23165
56408|13176
56408|27104
56697|20940
56697|24135
62921|45007
62921|42701
62921|45249
62921|17794
62921|45
62921|23288
62921|47740
62921|39448
62921|41540
62921|40706
64525|49683
64525|28493
64525|44632
64525|43961
64525|28535
64525|30489
66066|47439
66066|7559
66066|3661
66066|29449
66326|27325
66326|329
66326|3020
66326|30850
66326|43961
66326|25332
66326|17957
66326|22115
66326|34134
66326|32952
66326|26410
66326|23060
66326|23032
66326|10385
66326|2086
66326|40252
66326|41588
66326|17619
66326|28842
66326|15040
68622|28862
68622|10246
68622|21743
68622|39947
68622|38427
68622|40063
68622|1891
70326|47209
70326|37067
70326|40377
70326|7175
70326|25659
70326|47034
70326|31801
70326|9985
70326|14922
70326|36351
70326|19513
70326|48442
70326|5876
70326|28985
70326|26209
70326|19660
70326|14715
70761|16797
70761|33731
70761|47209
70761|13838
70761|45007
70761|24184
70761|5794
70761|43713
70761|32655
70761|1463
70761|5450
70761|21903
70761|24852
70761|4605
70761|45123
73495|8448
73495|20919
73495|21612
73495|30114
73495|22559
73495|21288
73495|40332
73495|6903
73495|12381
73495|43352
74058|45061
74058|15825
74058|27086
74058|264
75794|39409
75794|20842
75794|8424
75794|42356
75794|1891
75794|31371
75794|3376
76791|11629
76791|22677
79758|47209
79758|37011
79758|12872
79758|17872
79758|41220
79758|47463
79758|34969
79758|12206
79758|16797
80362|21903
80362|7252
80362|38368
80952|28572
80952|10957
80952|33198
80952|7185
80952|45841
80952|38511
83059|30450
83059|19057
83059|13176
83059|44422
88578|21970
88578|21849
88578|20658
88578|32724
88578|20286
88578|5047
88578|34412
88578|8390
88578|41651
89392|13176
89392|23029
91898|31343
91898|35921
91898|40706
91898|45104
91898|21267
91898|30382
91898|13304
91898|27104
91898|36695
91898|20114
91898|26497
91898|6873
91898|44359
91898|5025
91898|28842
91898|8518
91898|12357
95199|41519
95199|2086
95199|27845
95199|3583
95199|11477
95199|11005
95199|27086
95199|21137
95199|14711
95199|5479
95199|42445
95199|36606
95199|18594
95199|16973
95199|14467
95199|28745
95199|48628
95199|32655
95199|39877
95199|32579
105056|44632
105056|12455
105056|37006
105056|39303
105056|10957
105056|184
105056|6166
105056|18502
105056|33198
105056|44142
109489|9138
109489|3661
109489|28571
109489|44632
109489|40706
109489|42364
109489|49683
109489|9071
109489|35108
109489|47626
109489|41055
109489|45368
109489|13885
109489|3599
109489|12238
109489|45374
112021|3583
112021|21137
112021|8467
112021|17948
112021|27845
112021|27966
112021|42445
112021|43086
112021|24852
112021|18352
112021|37754
112021|13646
112021|46045
112021|32655
112021|27344
112021|31555
112021|11182
112021|9339
112021|5450
112021|40706
112021|27751
112021|41593
112021|19019
112021|24372
112021|22198
112021|228
112021|34243
112509|39794
112509|13176
112509|18286
112509|49416
112509|38656
112509|11576
112509|45866
112509|47885
112509|30142
112509|45302
112509|11844
112509|26047
112509|41543
112509|21973
112509|42710
112509|7781
112509|6348
112509|13646
112509|7485
114150|43662
114150|47209
114150|23630
114150|37053
114150|37220
118380|13176
118380|43352
118380|16797
119566|35951
119566|22035
119566|27544
119566|7562
119566|36695
119566|17794
119566|46069
119566|41549
119566|7185
119566|31440
122593|45104
122593|32747
122593|42450
122593|24852
122593|47621
122593|17477
122593|36939
122593|41519
122593|31847
122593|34844
122593|19007
124474|1516
124474|12290
124474|37119
124474|19895
124474|10369
124474|13198
124474|2450
124474|7559
124474|12545
124474|32839
124474|47740
124474|33529
124474|31225
124474|28038
128342|29447
128342|39964
128342|39275
128342|5456
128342|21137
128342|30169
128342|48210
128342|42828
128342|19816
128342|34969
128342|17600
128342|19895
128342|13870
128342|6948
128342|12770
128342|11782
128342|5959
128342|39619
128342|22035
128342|43249
128342|22594
132863|49478
132863|17395
132863|19057
132863|41950
134613|4472
134613|21038
134613|47630
134613|47652
134613|29270
134613|18677
134613|5086
134613|5212
134613|47209
134613|22276
134613|27847
134613|47873
134613|35121
134613|43740
134613|17122
134613|49683
134613|41950
134613|21903
134613|22849
134613|13457
134613|46236
134613|17219
134613|25556
134924|20682
134924|27801
134924|41561
134924|48071
134924|26476
134924|15805
134924|4799
134924|37250
134924|15569
134924|13391
134924|35940
134924|6873
134924|22888
134924|38470
134924|30584
134924|17642
134924|25706
134948|21137
134948|37754
134948|27086
134948|42445
134948|32655
134948|9339
134948|28568
134948|39303
134948|8021
134948|2086
134948|41519
134948|18376
134948|228
134948|31555
134948|35865
134948|18352
134948|43086
134948|48628
134948|11477
134948|32579
134948|46045
134948|33000
134948|38698
136083|5769
136083|13535
136083|27796
136083|21195
136083|35642
136083|890
136083|44172
137332|26317
137332|11440
137332|16198
137332|38288
137332|1244
137332|2450
137332|30820
137332|38996
137332|37486
